freq,gain,phase
0.9983778,-58.49315747,151.7095749
1.11758709,-61.63301455,179.1784563
1.25169754,-68.15884592,77.14415256
1.415610313,-57.20232257,155.4261066
1.579523087,-60.06181712,141.3759085
1.773238182,-70.51607869,-134.296144
1.9967556,-55.73240854,-179.0542087
2.235174179,-57.36248588,177.6999857
2.518296242,-56.08920737,-174.6037256
2.816319466,-57.71391736,179.9826426
3.159046173,-56.94053927,175.1912155
3.546476364,-51.80356475,173.3293717
3.978610039,-51.73301146,162.8510107
4.470348358,-51.9384188,161.9161971
5.006790161,-49.6346432,179.9505647
5.61773777,-47.68347325,160.4340078
6.303191185,-48.38822382,170.7227584
7.078051567,-45.90984742,160.2027573
7.942318916,-43.59327984,164.7198348
8.910894394,-41.15640163,163.8142531
9.998679161,-40.43211091,157.8699756
11.22057438,-37.68544057,153.5059175
12.59148121,-36.59132432,149.0974628
14.12630081,-34.81407132,147.3146541
15.85483551,-33.05586263,143.9915537
17.7770853,-31.35531827,140.4725997
19.95265484,-29.56957634,136.2293676
22.38154411,-28.0110859,130.4463479
25.12335777,-26.64581826,126.1348643
28.17809582,-24.97285251,120.4850283
31.62026405,-23.53693079,114.7423498
35.4796648,-22.10586538,108.4167912
39.81590271,-20.77827442,102.3848653
44.67368126,-19.54874273,95.42851522
50.11260509,-18.38025395,89.08774877
56.23698235,-17.40045716,81.89013596
63.09151649,-16.43113758,74.73225105
70.79541683,-15.67499504,67.4510078
79.43809032,-14.94121489,59.59486049
89.1238451,-14.30756444,52.09167013
100.0016928,-13.81135884,44.37917438
112.2057438,-13.37463214,37.08396823
125.8999109,-13.0594117,29.77037014
141.248107,-12.8701831,22.22352169
158.4887505,-12.73109968,15.22523772
177.8304577,-12.69270642,8.008686795
199.5265484,-12.78098985,1.199376598
223.8750458,-12.90939143,-5.806342565
251.1888742,-13.14899263,-12.20841254
281.8405628,-13.50615785,-18.28355533
316.2324429,-13.87206911,-24.31826582
354.8115492,-14.40410406,-29.84064729
398.1143236,-14.92325028,-35.31654312
446.6772079,-15.51275105,-40.75398436
501.1856556,-16.10604945,-45.02402269
562.3400211,-16.8736501,-49.41766283
630.9598684,-17.67169714,-52.76591768
707.9392672,-18.41295273,-56.81556556
794.3212986,-19.1520177,-59.98527368
891.2533522,-20.01193784,-62.93283892
1000.002027,-21.09518708,-66.00172162
1122.012734,-21.86211621,-68.52021986
1258.924603,-22.85565012,-71.57281756
1412.540674,-23.87909925,-72.68569065
1584.887505,-24.91281913,-73.60418822
1778.274775,-25.83695204,-75.58622746
1995.265484,-26.98742463,-78.22443308
2238.720655,-28.02039715,-79.24043172
2511.888742,-28.87263804,-81.4499364
2818.375826,-29.56594396,-79.4712622
3162.279725,-30.69139462,-80.86712496
3548.130393,-31.27355718,-82.29705397
3981.06873,-32.65906979,-86.11078065
4466.831684,-33.36956673,-85.99885613
5011.871457,-34.55194487,-82.42725223
5623.415112,-35.20927095,-83.124569
6309.568882,-36.64383722,-83.73081373
7079.452276,-38.10310962,-77.83993558
7943.287492,-39.23536711,-91.67233032
8912.503719,-38.43224713,-94.91960798
10000.00536,-37.71317297,-99.56885637
11220.18695,-40.53530797,-86.24869477
12589.26094,-39.6573839,-100.9804496
14125.37694,-38.79549455,-101.2876744
15848.93465,-38.81108079,-108.6991116
17782.79245,-36.72045519,-111.200535
19952.62504,-42.51470182,-133.6769131
22387.20655,-41.87145835,-136.1639972
25118.85762,-37.77597336,-135.1102359
28183.83276,-44.85892819,173.9224684
31622.78235,-36.82177045,-128.9147195
35481.33373,-41.38691651,-139.0488905
39810.71711,-40.6781008,-103.4092523
44668.36154,-34.49073739,-158.8057229
50118.72947,-43.6126782,-141.8627725
56234.13622,-32.55175564,-154.054519
63095.73352,-44.42865677,-27.09897396
70794.58237,-40.87189372,101.420395
79432.83021,-31.39237458,167.3904347
89125.0968,-31.24073164,154.9167634
99999.99404,-31.24493421,161.6440082
