freq,gain,phase
1000.0020265579224,-65.24133853067717,-125.43356537643983
912.010669708252,-71.40712288937947,110.99360035591663
831.7679166793823,-59.14974685160508,164.42972386552748
758.5734128952026,-56.72106056151685,-146.21109759544373
691.831111907959,-68.08951097058218,84.78244919908119
630.9598684310913,-60.884279348051685,159.7957170153897
575.4381418228149,-59.9515781582156,167.52156863889633
524.8039960861206,-59.20516291111844,164.62068390050595
478.6252975463867,-64.22636437113522,-172.5392427475497
436.51461601257324,-55.461882264826066,143.02096638768762
398.11432361602783,-52.36742616851474,-170.04510972527575
363.081693649292,-52.94094193815991,-174.28591835271888
331.1336040496826,-52.96652625139987,-175.34513726758325
302.00183391571045,-52.65862577438513,-177.8874315704177
275.41816234588623,-47.62882629401304,-176.72734545276845
251.18887424468994,-45.969158349995865,-172.31791719036949
229.09045219421387,-43.99769325460761,-172.7015510784699
208.929181098938,-42.90288260911655,-170.30956727795711
190.54114818572998,-41.933646890268705,-168.68115951096462
173.77734184265137,-40.79496831770227,-168.6920474830032
158.48875045776367,-39.16869497130368,-166.39405244813696
144.54126358032227,-37.227515101408024,-167.47226179288387
131.83057308197021,-35.70259987885461,-163.71074854223616
120.22256851196289,-34.24373587306695,-162.99781151775838
109.64274406433105,-32.642204871694894,-161.1561065519912
100.00169277191162,-31.07628225171718,-158.8332608864981
91.19510650634766,-29.586565575490237,-157.933905017954
83.17828178405762,-28.082049801465754,-154.5827991887042
75.86181163787842,-26.50198041458492,-153.45923089773223
69.18609142303467,-24.941396307965746,-150.98667729581447
63.09151649475098,-23.549566258045296,-148.6002911638107
57.54828453063965,-22.056232408041005,-145.66150138591897
52.481889724731445,-20.611514901768132,-142.3958395216018
47.86252975463867,-19.19935861845262,-139.68129165323833
43.645501136779785,-17.849271926008477,-135.7670701463441
39.81590270996094,-16.442160163750913,-132.46935648380074
36.31412982940674,-15.102428724156551,-128.61899426125856
33.11038017272949,-13.880836641768731,-124.56076633978262
30.2046537399292,-12.669802727919006,-120.34775375028971
27.53734588623047,-11.512799374453312,-115.87397425370135
25.12335777282715,-10.426043447707753,-111.34663221388534
22.903084754943848,-9.418868959143678,-106.45482139094294
20.891427993774414,-8.441485015845982,-101.59011842344819
19.058585166931152,-7.527066435766718,-96.70035042156621
17.374753952026367,-6.65655918008291,-91.44795288268193
15.854835510253906,-5.858561404409427,-86.51134492000196
14.454126358032227,-5.147501798593787,-81.4362504291185
13.187527656555176,-4.511346950197961,-76.4926290801433
12.025237083435059,-3.9343330771273832,-71.55659136951506
10.967254638671875,-3.428121136390505,-66.79434398139594
9.998679161071777,-2.974881143515712,-62.158207877696704
9.119510650634766,-2.5746186488003726,-57.756294352227634
8.314847946166992,-2.222863456422219,-53.467646364371085
7.584691047668457,-1.89999980083031,-49.472974300595574
6.9141387939453125,-1.6333125623145786,-45.62267728026816
6.303191184997559,-1.3992925053744585,-42.024825666264704
5.751848220825195,-1.2004337133303173,-38.70353412653189
5.245208740234375,-1.0324040367663407,-35.60222603667526
4.783272743225098,-0.8847311778217424,-32.66026367056413
4.366040229797363,-0.7694902800182274,-29.981703851573762
3.978610038757324,-0.6586364689221957,-27.49604191124539
3.635883331298828,-0.5762660550268796,-25.213441598763005
3.3080577850341797,-0.4990018659502604,-23.012702770887977
3.024935722351074,-0.441625814167429,-21.095950341207583
2.7567148208618164,-0.3820297984373242,-19.30121120040473
2.518296241760254,-0.33842055584604136,-17.66703631581063
2.294778823852539,-0.29889421470250316,-16.15700152516853
2.086162567138672,-0.26436973190909724,-14.713977692820059
1.9073486328125,-0.23758583465618677,-13.492134274414358
1.7434358596801758,-0.21265945433693967,-12.298679909263225
1.5795230865478516,-0.1987239474952436,-11.189767632540326
1.4454126358032227,-0.18314896047953474,-10.263381012288823
1.3113021850585938,-0.17027050858691362,-9.31496279471306
1.2069940567016602,-0.15376750128881034,-8.589571239552615
1.1026859283447266,-0.14945482967745743,-7.833512103187442
0.998377799987793,-0.13679254559404574,-7.13181831912753
0.908970832824707,-0.12695646067635608,-6.494304154326066
0.8344650268554688,-0.12702160818392952,-5.977113864162346
0.7599592208862305,-0.11687668672158381,-5.426451352868629
0.6854534149169922,-0.11214456654774038,-4.863974225679516
0.6258487701416016,-0.10590186036595595,-4.49866852794699
0.5811452865600586,-0.1006704475299352,-4.168792191592698
0.521540641784668,-0.10019823544954289,-3.7208053705655297
0.476837158203125,-0.10539982617827007,-3.423771644720777
0.43213367462158203,-0.09342018763534171,-3.0986259834566248
0.4023313522338867,-0.09135594041174433,-2.8893081727432777
0.35762786865234375,-0.09768611881544424,-2.5914938611504614
0.32782554626464844,-0.0961479429604048,-2.3512572500589286
0.2980232238769531,-0.09335034225267776,-2.159447134552292
0.2682209014892578,-0.09129717788268005,-1.9331452090868524
0.25331974029541016,-0.08634318425297861,-1.8182846768692749
0.22351741790771484,-0.09336285179469525,-1.5890527935633518
0.2086162567138672,-0.08912383536378227,-1.5149520751369037
0.19371509552001953,-0.08360702220817695,-1.3832304661376462
0.17881393432617188,-0.09251793526083912,-1.2826636443342843
0.16391277313232422,-0.08323121502438371,-1.1726197967595604
0.14901161193847656,-0.08487219256494288,-1.0558354726590347
0.1341104507446289,-0.08950773147302861,-0.9830133009700693
0.11920928955078125,-0.08226549069339575,-0.854933190189977
0.1043081283569336,-0.08370554994722239,-0.7525189454305844
0.1043081283569336,-0.08694793514375304,-0.767862588568853
