t1,ch1,t2,ch2
-3.48125,-0.027325439453125003,-3.481249875,-0.015903940200805666
-3.4762500000000003,-0.037261962890625,-3.476249875,-0.0059249973297119144
-3.47125,-0.032293701171875,-3.471249875,-0.0059249973297119144
-3.46625,-0.037261962890625,-3.466249875,-0.0059249973297119144
-3.46125,-0.037261962890625,-3.461249875,-0.0059249973297119144
-3.4562500000000003,-0.037261962890625,-3.456249875,-0.0009355258941650391
-3.45125,-0.037261962890625,-3.451249875,-0.010914468765258789
-3.44625,-0.037261962890625,-3.446249875,-0.010914468765258789
-3.44125,-0.037261962890625,-3.441249875,-0.015903940200805666
-3.4362500000000002,-0.032293701171875,-3.436249875,-0.0009355258941650391
-3.43125,-0.037261962890625,-3.431249875,-0.010914468765258789
-3.42625,-0.037261962890625,-3.426249875,-0.015903940200805666
-3.42125,-0.022357177734375,-3.421249875,-0.0059249973297119144
-3.4162500000000002,-0.032293701171875,-3.416249875,-0.0059249973297119144
-3.41125,-0.027325439453125003,-3.4112498749999998,-0.010914468765258789
-3.40625,-0.022357177734375,-3.406249875,-0.010914468765258789
-3.40125,-0.022357177734375,-3.401249875,-0.0059249973297119144
-3.39625,-0.012420654296875,-3.396249875,-0.015903940200805666
-3.39125,-0.0074523925781250005,-3.3912498749999997,-0.0009355258941650391
-3.38625,-0.017388916015625002,-3.386249875,-0.010914468765258789
-3.38125,-0.0074523925781250005,-3.381249875,-0.010914468765258789
-3.37625,-0.002484130859375,-3.376249875,-0.010914468765258789
-3.37125,-0.012420654296875,-3.3712498749999997,-0.015903940200805666
-3.36625,-0.002484130859375,-3.366249875,-0.0009355258941650391
-3.36125,-0.017388916015625002,-3.361249875,-0.02089341163635254
-3.35625,-0.012420654296875,-3.356249875,-0.0059249973297119144
-3.3512500000000003,-0.012420654296875,-3.351249875,-0.010914468765258789
-3.34625,-0.017388916015625002,-3.346249875,-0.010914468765258789
-3.34125,-0.017388916015625002,-3.341249875,-0.010914468765258789
-3.33625,-0.022357177734375,-3.336249875,-0.015903940200805666
-3.3312500000000003,-0.027325439453125003,-3.331249875,-0.0059249973297119144
-3.32625,-0.027325439453125003,-3.326249875,-0.015903940200805666
-3.32125,-0.027325439453125003,-3.321249875,-0.010914468765258789
-3.31625,-0.022357177734375,-3.316249875,-0.010914468765258789
-3.3112500000000002,-0.027325439453125003,-3.311249875,-0.02089341163635254
-3.30625,-0.022357177734375,-3.306249875,-0.0059249973297119144
-3.30125,-0.027325439453125003,-3.301249875,-0.010914468765258789
-3.29625,-0.032293701171875,-3.296249875,-0.010914468765258789
-3.2912500000000002,-0.037261962890625,-3.291249875,-0.02089341163635254
-3.28625,-0.032293701171875,-3.2862498749999998,-0.010914468765258789
-3.28125,-0.032293701171875,-3.281249875,-0.010914468765258789
-3.27625,-0.032293701171875,-3.276249875,-0.010914468765258789
-3.27125,-0.032293701171875,-3.271249875,-0.015903940200805666
-3.26625,-0.027325439453125003,-3.2662498749999997,-0.015903940200805666
-3.26125,-0.027325439453125003,-3.261249875,-0.0059249973297119144
-3.25625,-0.027325439453125003,-3.256249875,-0.010914468765258789
-3.25125,-0.027325439453125003,-3.251249875,-0.0059249973297119144
-3.24625,-0.032293701171875,-3.2462498749999997,-0.010914468765258789
-3.24125,-0.032293701171875,-3.241249875,-0.010914468765258789
-3.23625,-0.037261962890625,-3.236249875,-0.010914468765258789
-3.23125,-0.027325439453125003,-3.231249875,-0.0059249973297119144
-3.2262500000000003,-0.037261962890625,-3.226249875,-0.015903940200805666
-3.22125,-0.032293701171875,-3.221249875,-0.010914468765258789
-3.21625,-0.08197631835937501,-3.216249875,-0.010914468765258789
-3.21125,-0.091912841796875,-3.211249875,-0.010914468765258789
-3.2062500000000003,-0.091912841796875,-3.206249875,-0.010914468765258789
-3.20125,-0.10681762695312501,-3.201249875,-0.015903940200805666
-3.19625,-0.101849365234375,-3.196249875,-0.02089341163635254
-3.19125,-0.09688110351562501,-3.191249875,-0.0059249973297119144
-3.1862500000000002,-0.08197631835937501,-3.186249875,-0.0059249973297119144
-3.18125,-0.091912841796875,-3.181249875,-0.015903940200805666
-3.17625,-0.091912841796875,-3.176249875,-0.010914468765258789
-3.17125,-0.077008056640625,-3.171249875,-0.0059249973297119144
-3.1662500000000002,-0.067071533203125,-3.166249875,-0.010914468765258789
-3.16125,-0.057135009765625,-3.1612498749999998,-0.010914468765258789
-3.15625,-0.06210327148437501,-3.156249875,-0.02089341163635254
-3.15125,-0.047198486328125004,-3.151249875,-0.015903940200805666
-3.14625,-0.042230224609375006,-3.146249875,-0.015903940200805666
-3.14125,-0.022357177734375,-3.1412498749999997,-0.010914468765258789
-3.13625,-0.022357177734375,-3.136249875,-0.015903940200805666
-3.13125,-0.027325439453125003,-3.131249875,-0.025882883071899416
-3.12625,-0.012420654296875,-3.126249875,-0.02089341163635254
-3.12125,-0.002484130859375,-3.1212498749999997,-0.02089341163635254
-3.11625,0.0074523925781250005,-3.116249875,-0.010914468765258789
-3.11125,0.012420654296875,-3.111249875,-0.010914468765258789
-3.10625,0.017388916015625002,-3.106249875,-0.010914468765258789
-3.1012500000000003,0.012420654296875,-3.101249875,-0.0059249973297119144
-3.09625,0.017388916015625002,-3.096249875,-0.0059249973297119144
-3.09125,0.012420654296875,-3.091249875,-0.015903940200805666
-3.08625,0.012420654296875,-3.086249875,-0.015903940200805666
-3.0812500000000003,0.012420654296875,-3.081249875,-0.015903940200805666
-3.07625,0.017388916015625002,-3.076249875,-0.015903940200805666
-3.07125,0.0074523925781250005,-3.071249875,-0.0059249973297119144
-3.06625,0.0074523925781250005,-3.066249875,-0.015903940200805666
-3.0612500000000002,0.0074523925781250005,-3.061249875,-0.010914468765258789
-3.05625,-0.002484130859375,-3.056249875,-0.0059249973297119144
-3.05125,-0.002484130859375,-3.051249875,-0.015903940200805666
-3.04625,-0.012420654296875,-3.046249875,-0.02089341163635254
-3.0412500000000002,-0.0074523925781250005,-3.041249875,-0.0059249973297119144
-3.03625,-0.022357177734375,-3.0362498749999998,-0.010914468765258789
-3.03125,-0.022357177734375,-3.031249875,-0.010914468765258789
-3.02625,-0.027325439453125003,-3.026249875,-0.010914468765258789
-3.02125,-0.027325439453125003,-3.021249875,-0.015903940200805666
-3.01625,-0.042230224609375006,-3.0162498749999997,-0.015903940200805666
-3.01125,-0.037261962890625,-3.011249875,-0.010914468765258789
-3.00625,-0.037261962890625,-3.006249875,-0.015903940200805666
-3.00125,-0.032293701171875,-3.001249875,-0.010914468765258789
-2.99625,-0.037261962890625,-2.9962498749999997,-0.015903940200805666
-2.99125,-0.037261962890625,-2.991249875,-0.015903940200805666
-2.98625,-0.037261962890625,-2.986249875,-0.015903940200805666
-2.98125,-0.032293701171875,-2.981249875,-0.015903940200805666
-2.97625,-0.027325439453125003,-2.9762498749999997,-0.0059249973297119144
-2.97125,-0.027325439453125003,-2.971249875,-0.010914468765258789
-2.96625,-0.022357177734375,-2.966249875,-0.010914468765258789
-2.96125,-0.027325439453125003,-2.961249875,-0.015903940200805666
-2.9562500000000003,-0.017388916015625002,-2.956249875,-0.010914468765258789
-2.95125,-0.032293701171875,-2.951249875,-0.010914468765258789
-2.94625,-0.022357177734375,-2.946249875,-0.0009355258941650391
-2.94125,-0.027325439453125003,-2.941249875,-0.02089341163635254
-2.9362500000000002,-0.017388916015625002,-2.936249875,-0.015903940200805666
-2.93125,-0.022357177734375,-2.931249875,-0.010914468765258789
-2.92625,-0.012420654296875,-2.926249875,-0.010914468765258789
-2.92125,-0.0074523925781250005,-2.921249875,-0.010914468765258789
-2.9162500000000002,-0.012420654296875,-2.916249875,-0.010914468765258789
-2.91125,-0.012420654296875,-2.9112498749999998,-0.010914468765258789
-2.90625,-0.002484130859375,-2.906249875,-0.0059249973297119144
-2.90125,-0.002484130859375,-2.901249875,-0.010914468765258789
-2.89625,-0.012420654296875,-2.896249875,-0.010914468765258789
-2.89125,-0.017388916015625002,-2.8912498749999997,-0.02089341163635254
-2.88625,-0.012420654296875,-2.886249875,-0.010914468765258789
-2.88125,-0.002484130859375,-2.881249875,-0.0059249973297119144
-2.87625,-0.012420654296875,-2.876249875,-0.02089341163635254
-2.87125,-0.017388916015625002,-2.8712498749999997,-0.015903940200805666
-2.86625,-0.012420654296875,-2.866249875,-0.010914468765258789
-2.86125,-0.012420654296875,-2.861249875,-0.010914468765258789
-2.85625,-0.017388916015625002,-2.856249875,-0.02089341163635254
-2.85125,-0.017388916015625002,-2.8512498749999997,-0.010914468765258789
-2.84625,-0.017388916015625002,-2.846249875,-0.015903940200805666
-2.84125,-0.022357177734375,-2.841249875,-0.010914468765258789
-2.83625,-0.027325439453125003,-2.836249875,-0.0009355258941650391
-2.8312500000000003,-0.022357177734375,-2.831249875,-0.015903940200805666
-2.82625,-0.017388916015625002,-2.826249875,-0.0059249973297119144
-2.82125,-0.022357177734375,-2.821249875,-0.0059249973297119144
-2.81625,-0.022357177734375,-2.816249875,-0.010914468765258789
-2.8112500000000002,-0.032293701171875,-2.811249875,-0.015903940200805666
-2.80625,-0.027325439453125003,-2.806249875,-0.010914468765258789
-2.80125,-0.037261962890625,-2.801249875,-0.025882883071899416
-2.79625,-0.027325439453125003,-2.796249875,-0.0059249973297119144
-2.7912500000000002,-0.032293701171875,-2.791249875,-0.015903940200805666
-2.78625,-0.027325439453125003,-2.7862498749999998,-0.010914468765258789
-2.78125,-0.027325439453125003,-2.781249875,-0.010914468765258789
-2.77625,-0.022357177734375,-2.776249875,-0.015903940200805666
-2.77125,-0.017388916015625002,-2.771249875,-0.010914468765258789
-2.76625,-0.017388916015625002,-2.7662498749999997,-0.010914468765258789
-2.76125,-0.0074523925781250005,-2.761249875,-0.0059249973297119144
-2.75625,-0.002484130859375,-2.756249875,-0.0059249973297119144
-2.75125,-0.0074523925781250005,-2.751249875,-0.010914468765258789
-2.74625,-0.0074523925781250005,-2.7462498749999997,-0.015903940200805666
-2.74125,-0.002484130859375,-2.741249875,-0.010914468765258789
-2.73625,-0.002484130859375,-2.736249875,-0.0059249973297119144
-2.73125,-0.002484130859375,-2.731249875,-0.0059249973297119144
-2.72625,0.002484130859375,-2.7262498749999997,-0.010914468765258789
-2.72125,0.0074523925781250005,-2.721249875,-0.010914468765258789
-2.71625,0.002484130859375,-2.716249875,-0.010914468765258789
-2.71125,0.0074523925781250005,-2.711249875,-0.0059249973297119144
-2.7062500000000003,-0.012420654296875,-2.706249875,-0.015903940200805666
-2.70125,0.002484130859375,-2.701249875,-0.015903940200805666
-2.69625,0.002484130859375,-2.696249875,-0.0009355258941650391
-2.69125,0.0074523925781250005,-2.691249875,-0.0009355258941650391
-2.6862500000000002,-0.002484130859375,-2.686249875,-0.015903940200805666
-2.68125,0.0074523925781250005,-2.681249875,-0.0059249973297119144
-2.67625,0.002484130859375,-2.676249875,-0.0059249973297119144
-2.67125,0.002484130859375,-2.671249875,-0.010914468765258789
-2.6662500000000002,-0.002484130859375,-2.666249875,-0.010914468765258789
-2.66125,-0.002484130859375,-2.6612498749999998,-0.015903940200805666
-2.65625,-0.002484130859375,-2.656249875,-0.0059249973297119144
-2.65125,0.002484130859375,-2.651249875,-0.0059249973297119144
-2.64625,-0.002484130859375,-2.646249875,-0.02089341163635254
-2.64125,-0.002484130859375,-2.6412498749999997,-0.015903940200805666
-2.63625,0.002484130859375,-2.636249875,-0.0059249973297119144
-2.63125,-0.0074523925781250005,-2.631249875,-0.015903940200805666
-2.62625,-0.002484130859375,-2.626249875,-0.015903940200805666
-2.62125,0.002484130859375,-2.6212498749999997,-0.0059249973297119144
-2.61625,-0.002484130859375,-2.616249875,-0.010914468765258789
-2.61125,-0.012420654296875,-2.611249875,-0.015903940200805666
-2.60625,-0.012420654296875,-2.606249875,-0.0059249973297119144
-2.60125,-0.0074523925781250005,-2.6012498749999997,-0.010914468765258789
-2.59625,-0.0074523925781250005,-2.596249875,-0.010914468765258789
-2.59125,-0.017388916015625002,-2.591249875,-0.010914468765258789
-2.58625,-0.022357177734375,-2.586249875,-0.010914468765258789
-2.5812500000000003,-0.027325439453125003,-2.581249875,-0.010914468765258789
-2.57625,-0.022357177734375,-2.576249875,-0.02089341163635254
-2.57125,-0.022357177734375,-2.571249875,-0.015903940200805666
-2.56625,-0.017388916015625002,-2.566249875,-0.010914468765258789
-2.5612500000000002,-0.022357177734375,-2.561249875,-0.0059249973297119144
-2.55625,-0.022357177734375,-2.556249875,-0.010914468765258789
-2.55125,-0.027325439453125003,-2.551249875,-0.0059249973297119144
-2.54625,-0.027325439453125003,-2.546249875,-0.0059249973297119144
-2.5412500000000002,-0.027325439453125003,-2.541249875,-0.015903940200805666
-2.53625,-0.022357177734375,-2.5362498749999998,-0.015903940200805666
-2.53125,-0.017388916015625002,-2.531249875,-0.0059249973297119144
-2.52625,-0.017388916015625002,-2.526249875,-0.0059249973297119144
-2.52125,-0.027325439453125003,-2.521249875,-0.02089341163635254
-2.51625,-0.022357177734375,-2.5162498749999997,-0.010914468765258789
-2.51125,-0.022357177734375,-2.511249875,-0.010914468765258789
-2.50625,-0.022357177734375,-2.506249875,-0.0009355258941650391
-2.50125,-0.022357177734375,-2.501249875,-0.010914468765258789
-2.49625,-0.0074523925781250005,-2.4962498749999997,-0.0009355258941650391
-2.49125,-0.022357177734375,-2.491249875,-0.010914468765258789
-2.48625,-0.0074523925781250005,-2.486249875,0.004053945541381836
-2.48125,-0.027325439453125003,-2.481249875,-0.010914468765258789
-2.47625,-0.022357177734375,-2.4762498749999997,-0.010914468765258789
-2.47125,-0.012420654296875,-2.471249875,-0.010914468765258789
-2.46625,-0.017388916015625002,-2.466249875,-0.010914468765258789
-2.46125,-0.027325439453125003,-2.461249875,-0.010914468765258789
-2.4562500000000003,-0.027325439453125003,-2.456249875,-0.010914468765258789
-2.45125,-0.027325439453125003,-2.451249875,-0.0059249973297119144
-2.44625,-0.032293701171875,-2.446249875,-0.0059249973297119144
-2.44125,-0.022357177734375,-2.441249875,-0.0059249973297119144
-2.4362500000000002,-0.037261962890625,-2.436249875,-0.010914468765258789
-2.43125,-0.037261962890625,-2.431249875,-0.0059249973297119144
-2.42625,-0.047198486328125004,-2.426249875,-0.02089341163635254
-2.42125,-0.047198486328125004,-2.421249875,-0.015903940200805666
-2.4162500000000002,-0.042230224609375006,-2.416249875,-0.010914468765258789
-2.41125,-0.052166748046875,-2.4112498749999998,-0.015903940200805666
-2.40625,-0.037261962890625,-2.406249875,-0.010914468765258789
-2.40125,-0.042230224609375006,-2.401249875,-0.0059249973297119144
-2.39625,-0.042230224609375006,-2.396249875,-0.015903940200805666
-2.39125,-0.047198486328125004,-2.3912498749999997,-0.015903940200805666
-2.38625,-0.037261962890625,-2.386249875,-0.010914468765258789
-2.38125,-0.037261962890625,-2.381249875,-0.010914468765258789
-2.37625,-0.037261962890625,-2.376249875,-0.02089341163635254
-2.37125,-0.032293701171875,-2.3712498749999997,-0.0059249973297119144
-2.36625,-0.027325439453125003,-2.366249875,-0.015903940200805666
-2.36125,-0.017388916015625002,-2.361249875,-0.02089341163635254
-2.35625,-0.022357177734375,-2.356249875,-0.02089341163635254
-2.35125,-0.002484130859375,-2.3512498749999997,-0.015903940200805666
-2.34625,0.0074523925781250005,-2.346249875,-0.010914468765258789
-2.34125,0.012420654296875,-2.341249875,-0.015903940200805666
-2.33625,0.022357177734375,-2.336249875,-0.0059249973297119144
-2.3312500000000003,0.032293701171875,-2.331249875,-0.0009355258941650391
-2.32625,0.042230224609375006,-2.326249875,-0.015903940200805666
-2.32125,0.052166748046875,-2.321249875,-0.010914468765258789
-2.31625,0.042230224609375006,-2.316249875,-0.010914468765258789
-2.3112500000000002,0.047198486328125004,-2.311249875,-0.010914468765258789
-2.30625,0.052166748046875,-2.306249875,-0.010914468765258789
-2.30125,0.032293701171875,-2.301249875,-0.015903940200805666
-2.29625,0.032293701171875,-2.296249875,-0.0059249973297119144
-2.2912500000000002,0.022357177734375,-2.291249875,-0.015903940200805666
-2.28625,0.022357177734375,-2.2862498749999998,-0.015903940200805666
-2.28125,0.017388916015625002,-2.281249875,-0.0059249973297119144
-2.27625,0.017388916015625002,-2.276249875,-0.0059249973297119144
-2.27125,-0.002484130859375,-2.271249875,-0.015903940200805666
-2.26625,-0.0074523925781250005,-2.2662498749999997,-0.025882883071899416
-2.26125,-0.012420654296875,-2.261249875,-0.02089341163635254
-2.25625,-0.017388916015625002,-2.256249875,-0.015903940200805666
-2.25125,-0.017388916015625002,-2.251249875,-0.010914468765258789
-2.24625,-0.022357177734375,-2.2462498749999997,-0.0059249973297119144
-2.24125,-0.032293701171875,-2.241249875,-0.010914468765258789
-2.23625,-0.032293701171875,-2.236249875,-0.0059249973297119144
-2.23125,-0.037261962890625,-2.231249875,-0.015903940200805666
-2.22625,-0.047198486328125004,-2.2262498749999997,-0.015903940200805666
-2.22125,-0.042230224609375006,-2.221249875,-0.015903940200805666
-2.21625,-0.042230224609375006,-2.216249875,-0.02089341163635254
-2.21125,-0.037261962890625,-2.211249875,-0.015903940200805666
-2.2062500000000003,-0.032293701171875,-2.206249875,-0.010914468765258789
-2.20125,-0.037261962890625,-2.201249875,-0.02089341163635254
-2.19625,-0.032293701171875,-2.196249875,-0.015903940200805666
-2.19125,-0.042230224609375006,-2.191249875,-0.015903940200805666
-2.1862500000000002,-0.022357177734375,-2.186249875,-0.010914468765258789
-2.18125,-0.027325439453125003,-2.181249875,-0.010914468765258789
-2.17625,-0.022357177734375,-2.176249875,-0.010914468765258789
-2.17125,-0.027325439453125003,-2.171249875,-0.025882883071899416
-2.1662500000000002,-0.022357177734375,-2.166249875,-0.015903940200805666
-2.16125,-0.022357177734375,-2.1612498749999998,-0.010914468765258789
-2.15625,-0.022357177734375,-2.156249875,-0.02089341163635254
-2.15125,-0.002484130859375,-2.151249875,-0.0059249973297119144
-2.14625,-0.012420654296875,-2.146249875,-0.0059249973297119144
-2.14125,-0.012420654296875,-2.1412498749999997,-0.0059249973297119144
-2.13625,-0.017388916015625002,-2.136249875,-0.015903940200805666
-2.13125,-0.0074523925781250005,-2.131249875,-0.0059249973297119144
-2.12625,-0.022357177734375,-2.126249875,-0.010914468765258789
-2.12125,-0.017388916015625002,-2.1212498749999997,-0.010914468765258789
-2.11625,-0.017388916015625002,-2.116249875,-0.010914468765258789
-2.11125,-0.022357177734375,-2.111249875,-0.010914468765258789
-2.10625,-0.012420654296875,-2.106249875,-0.010914468765258789
-2.10125,-0.017388916015625002,-2.1012498749999997,-0.010914468765258789
-2.09625,-0.027325439453125003,-2.096249875,-0.015903940200805666
-2.09125,-0.022357177734375,-2.091249875,-0.02089341163635254
-2.08625,-0.017388916015625002,-2.086249875,-0.015903940200805666
-2.08125,-0.032293701171875,-2.0812498749999997,-0.010914468765258789
-2.07625,-0.017388916015625002,-2.076249875,-0.010914468765258789
-2.07125,-0.022357177734375,-2.071249875,-0.015903940200805666
-2.06625,-0.032293701171875,-2.066249875,-0.02089341163635254
-2.0612500000000002,-0.027325439453125003,-2.061249875,-0.010914468765258789
-2.05625,-0.027325439453125003,-2.056249875,-0.010914468765258789
-2.05125,-0.022357177734375,-2.051249875,-0.010914468765258789
-2.04625,-0.022357177734375,-2.046249875,-0.010914468765258789
-2.0412500000000002,-0.0074523925781250005,-2.041249875,-0.010914468765258789
-2.03625,-0.017388916015625002,-2.0362498749999998,-0.010914468765258789
-2.03125,-0.0074523925781250005,-2.031249875,-0.0059249973297119144
-2.02625,-0.0074523925781250005,-2.026249875,-0.0059249973297119144
-2.02125,-0.0074523925781250005,-2.021249875,-0.0059249973297119144
-2.01625,-0.012420654296875,-2.0162498749999997,-0.015903940200805666
-2.01125,-0.012420654296875,-2.011249875,-0.02089341163635254
-2.00625,-0.002484130859375,-2.006249875,-0.02089341163635254
-2.00125,-0.002484130859375,-2.001249875,-0.010914468765258789
-1.99625,-0.002484130859375,-1.9962498750000002,-0.0059249973297119144
-1.99125,-0.002484130859375,-1.991249875,-0.015903940200805666
-1.98625,-0.002484130859375,-1.9862498750000002,-0.010914468765258789
-1.98125,-0.0074523925781250005,-1.981249875,-0.015903940200805666
-1.97625,-0.002484130859375,-1.9762498750000002,-0.0059249973297119144
-1.97125,-0.0074523925781250005,-1.971249875,-0.015903940200805666
-1.96625,-0.022357177734375,-1.9662498750000001,-0.02089341163635254
-1.96125,-0.012420654296875,-1.961249875,-0.0059249973297119144
-1.95625,-0.022357177734375,-1.9562498750000001,-0.015903940200805666
-1.9512500000000002,-0.017388916015625002,-1.9512498750000002,-0.0059249973297119144
-1.94625,-0.027325439453125003,-1.9462498750000001,-0.010914468765258789
-1.9412500000000001,-0.027325439453125003,-1.9412498750000002,-0.010914468765258789
-1.93625,-0.022357177734375,-1.9362498750000001,-0.0059249973297119144
-1.9312500000000001,-0.027325439453125003,-1.9312498750000002,-0.0059249973297119144
-1.92625,-0.017388916015625002,-1.9262498750000001,-0.0059249973297119144
-1.9212500000000001,-0.022357177734375,-1.9212498750000002,-0.010914468765258789
-1.91625,-0.017388916015625002,-1.916249875,-0.010914468765258789
-1.9112500000000001,-0.022357177734375,-1.9112498750000002,-0.010914468765258789
-1.90625,-0.012420654296875,-1.906249875,-0.0059249973297119144
-1.90125,-0.012420654296875,-1.9012498750000002,-0.0059249973297119144
-1.89625,-0.012420654296875,-1.896249875,-0.015903940200805666
-1.89125,-0.012420654296875,-1.8912498750000002,-0.0059249973297119144
-1.88625,-0.0074523925781250005,-1.886249875,-0.010914468765258789
-1.88125,-0.0074523925781250005,-1.8812498750000002,-0.015903940200805666
-1.87625,-0.012420654296875,-1.876249875,-0.010914468765258789
-1.87125,-0.012420654296875,-1.8712498750000002,-0.0059249973297119144
-1.86625,-0.0074523925781250005,-1.866249875,-0.010914468765258789
-1.86125,-0.012420654296875,-1.8612498750000002,-0.0059249973297119144
-1.85625,-0.012420654296875,-1.856249875,-0.010914468765258789
