t1,ch1,t2,ch2
-3.7192463235294118,-0.8191651020050048,-3.7192461985294116,-0.025882883071899416
-3.714246323529412,-0.8161878986358642,-3.7142461985294117,-0.03586182594299316
-3.7092463235294115,-0.8042790851593017,-3.7092461985294114,-0.03586182594299316
-3.7042463235294116,-0.7893930683135986,-3.7042461985294115,-0.03586182594299316
-3.6992463235294117,-0.7675602436065674,-3.6992461985294116,-0.03087235450744629
-3.694246323529412,-0.7546590290069579,-3.6942461985294117,-0.03586182594299316
-3.6892463235294115,-0.714962984085083,-3.6892461985294114,-0.03087235450744629
-3.6842463235294116,-0.699084566116333,-3.6842461985294115,-0.03087235450744629
-3.6792463235294117,-0.6722897357940674,-3.6792461985294116,-0.03087235450744629
-3.674246323529412,-0.6425177021026611,-3.6742461985294117,-0.025882883071899416
-3.6692463235294115,-0.6137380695343018,-3.6692461985294114,-0.025882883071899416
-3.6642463235294116,-0.5909128437042236,-3.6642461985294115,-0.03087235450744629
-3.6592463235294117,-0.5720572223663329,-3.6592461985294116,-0.03586182594299316
-3.654246323529412,-0.5412927875518798,-3.6542461985294117,-0.02089341163635254
-3.6492463235294115,-0.5025891437530517,-3.6492461985294113,-0.025882883071899416
-3.6442463235294116,-0.4827411212921142,-3.6442461985294115,-0.025882883071899416
-3.6392463235294117,-0.45495388984680174,-3.6392461985294116,-0.03087235450744629
-3.634246323529412,-0.43907547187805174,-3.6342461985294117,-0.025882883071899416
-3.6292463235294115,-0.41426544380187985,-3.6292461985294113,-0.03087235450744629
-3.6242463235294116,-0.38747061347961426,-3.6242461985294114,-0.025882883071899416
-3.6192463235294117,-0.36266058540344237,-3.6192461985294115,-0.03087235450744629
-3.6142463235294118,-0.33884295845031737,-3.6142461985294116,-0.03087235450744629
-3.609246323529412,-0.325941743850708,-3.6092461985294118,-0.03087235450744629
-3.6042463235294115,-0.2971621112823486,-3.6042461985294114,-0.03586182594299316
-3.5992463235294117,-0.2872381000518799,-3.5992461985294115,-0.03586182594299316
-3.5942463235294118,-0.26739007759094235,-3.5942461985294116,-0.025882883071899416
-3.589246323529412,-0.24952685737609862,-3.5892461985294117,-0.04085129737854004
-3.5842463235294115,-0.23265603828430176,-3.5842461985294114,-0.03087235450744629
-3.5792463235294116,-0.222732027053833,-3.5792461985294115,-0.03087235450744629
-3.5742463235294117,-0.2138004169464111,-3.5742461985294116,-0.03586182594299316
-3.569246323529412,-0.19990680122375487,-3.5692461985294117,-0.025882883071899416
-3.5642463235294115,-0.18105117988586425,-3.5642461985294114,-0.03586182594299316
-3.5592463235294116,-0.1711271686553955,-3.5592461985294115,-0.03087235450744629
-3.5542463235294117,-0.167157564163208,-3.5542461985294116,-0.03586182594299316
-3.549246323529412,-0.15822595405578613,-3.5492461985294117,-0.03586182594299316
-3.5442463235294115,-0.15326394844055174,-3.5442461985294114,-0.03087235450744629
-3.5392463235294116,-0.13837793159484862,-3.5392461985294115,-0.04085129737854004
-3.5342463235294117,-0.12944632148742674,-3.5342461985294116,-0.025882883071899416
-3.529246323529412,-0.1234919147491455,-3.5292461985294117,-0.03586182594299316
-3.5242463235294115,-0.11059070014953613,-3.5242461985294113,-0.02089341163635254
-3.5192463235294116,-0.0996742877960205,-3.5192461985294115,-0.03087235450744629
-3.5142463235294117,-0.103643892288208,-3.5142461985294116,-0.03087235450744629
-3.509246323529412,-0.09768948554992675,-3.5092461985294117,-0.03586182594299316
-3.5042463235294115,-0.09669708442687988,-3.5042461985294113,-0.03087235450744629
-3.4992463235294116,-0.08677307319641113,-3.4992461985294114,-0.03087235450744629
-3.4942463235294117,-0.08677307319641113,-3.4942461985294115,-0.03087235450744629
-3.4892463235294118,-0.07883386421203613,-3.4892461985294116,-0.03087235450744629
-3.484246323529412,-0.06990225410461426,-3.4842461985294118,-0.03087235450744629
-3.4792463235294115,-0.06593264961242676,-3.4792461985294114,-0.03586182594299316
-3.4742463235294117,-0.054023836135864256,-3.4742461985294115,-0.03087235450744629
-3.4692463235294118,-0.06097064399719238,-3.4692461985294116,-0.03586182594299316
-3.464246323529412,-0.056008638381958006,-3.4642461985294117,-0.03087235450744629
-3.4592463235294115,-0.054023836135864256,-3.4592461985294114,-0.03586182594299316
-3.4542463235294116,-0.050054231643676755,-3.4542461985294115,-0.04085129737854004
-3.4492463235294117,-0.04906183052062988,-3.4492461985294116,-0.03087235450744629
-3.444246323529412,-0.05898584175109863,-3.4442461985294117,-0.03087235450744629
-3.4392463235294115,-0.07188705635070801,-3.4392461985294114,-0.03087235450744629
-3.4342463235294116,-0.0837958698272705,-3.4342461985294115,-0.02089341163635254
-3.4292463235294117,-0.12448431587219237,-3.4292461985294116,-0.04085129737854004
-3.424246323529412,-0.16418036079406736,-3.4242461985294117,-0.03087235450744629
-3.4192463235294115,-0.21677762031555176,-3.4192461985294114,-0.03087235450744629
-3.4142463235294116,-0.26739007759094235,-3.4142461985294115,-0.025882883071899416
-3.4092463235294117,-0.3348733539581299,-3.4092461985294116,-0.03586182594299316
-3.404246323529412,-0.4013642292022705,-3.4042461985294117,-0.03586182594299316
-3.3992463235294115,-0.4678551044464111,-3.3992461985294113,-0.03087235450744629
-3.3942463235294116,-0.532361177444458,-3.3942461985294115,-0.03586182594299316
-3.3892463235294117,-0.5889280414581298,-3.3892461985294116,-0.025882883071899416
-3.384246323529412,-0.6494645099639892,-3.3842461985294117,-0.025882883071899416
-3.3792463235294115,-0.7040465717315674,-3.3792461985294113,-0.025882883071899416
-3.3742463235294116,-0.7526742267608643,-3.3742461985294114,-0.03087235450744629
-3.3692463235294117,-0.7963398761749267,-3.3692461985294115,-0.03087235450744629
-3.3642463235294118,-0.8201575031280517,-3.3642461985294116,-0.03087235450744629
-3.359246323529412,-0.8469523334503173,-3.3592461985294118,-0.03087235450744629
-3.3542463235294115,-0.8658079547882079,-3.3542461985294114,-0.025882883071899416
-3.3492463235294117,-0.8658079547882079,-3.3492461985294115,-0.03586182594299316
-3.3442463235294118,-0.8717623615264892,-3.3442461985294116,-0.04085129737854004
-3.339246323529412,-0.864815553665161,-3.3392461985294117,-0.03586182594299316
-3.3342463235294115,-0.8618383502960205,-3.3342461985294114,-0.04085129737854004
-3.3292463235294116,-0.8668003559112548,-3.3292461985294115,-0.03586182594299316
-3.3242463235294117,-0.841990327835083,-3.3242461985294116,-0.03586182594299316
-3.319246323529412,-0.8191651020050048,-3.3192461985294117,-0.03087235450744629
-3.3142463235294115,-0.8022942829132079,-3.3142461985294114,-0.02089341163635254
-3.3092463235294116,-0.7705374469757079,-3.3092461985294115,-0.02089341163635254
-3.3042463235294117,-0.7437426166534423,-3.3042461985294116,-0.03087235450744629
-3.299246323529412,-0.7119857807159423,-3.2992461985294117,-0.025882883071899416
-3.2942463235294115,-0.6871757526397705,-3.2942461985294114,-0.025882883071899416
-3.2892463235294116,-0.659388521194458,-3.2892461985294115,-0.025882883071899416
-3.2842463235294117,-0.6187000751495361,-3.2842461985294116,-0.025882883071899416
-3.279246323529412,-0.5919052448272705,-3.2792461985294117,-0.025882883071899416
-3.2742463235294115,-0.5601484088897705,-3.2742461985294113,-0.03586182594299316
-3.2692463235294116,-0.5313687763214111,-3.2692461985294115,-0.03087235450744629
-3.2642463235294117,-0.5035815448760986,-3.2642461985294116,-0.03586182594299316
-3.259246323529412,-0.4668627033233642,-3.2592461985294117,-0.03087235450744629
-3.2542463235294115,-0.437090669631958,-3.2542461985294113,-0.03586182594299316
-3.2492463235294116,-0.4093034381866455,-3.2492461985294114,-0.03087235450744629
-3.2442463235294117,-0.3864782123565674,-3.2442461985294115,-0.03087235450744629
-3.2392463235294118,-0.357698579788208,-3.2392461985294116,-0.03586182594299316
-3.234246323529412,-0.3368581562042236,-3.2342461985294118,-0.03087235450744629
-3.2292463235294115,-0.3130405292510986,-3.2292461985294114,-0.03087235450744629
